Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,TklInt,Clr,Err,Matches
Agustín Rossi,ar ARG,GK,30-060,42.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,11,4,Matches
Leo Ortiz,br BRA,DF,29-290,37.0,37,23,20,16,1,11,14,78.6,3,24,20,4,34,69,150,4,Matches
Léo Pereira,br BRA,DF,29-262,36.1,31,23,22,8,1,16,32,50.0,16,30,16,14,28,57,142,1,Matches
Giorgian De Arrascaeta,uy URU,MF,31-141,30.6,39,19,14,17,8,11,25,44.0,14,12,2,10,6,45,10,0,Matches
Luiz Araújo,br BRA,FW.MF,29-140,24.6,56,49,15,31,10,22,38,57.9,16,21,0,21,10,66,11,0,Matches
Bruno Henrique,br BRA,FW,34-294,22.6,26,19,4,10,12,9,21,42.9,12,16,0,16,5,31,11,0,Matches
Alex Sandro,br BRA,DF,34-267,22.5,29,15,9,14,6,5,10,50.0,5,16,7,9,21,50,63,1,Matches
Guillermo Varela,uy URU,DF,32-210,19.7,27,23,15,8,4,12,21,57.1,9,12,4,8,10,35,57,1,Matches
Gonzalo Plata,ec ECU,FW.MF,24-353,18.4,39,31,19,10,10,11,26,42.3,15,14,0,14,4,42,11,0,Matches
Jorginho,it ITA,MF,33-304,17.8,20,15,5,12,3,13,27,48.1,14,12,3,9,27,43,6,2,Matches
Pedro,br BRA,FW,28-122,17.1,13,8,4,4,5,6,15,40.0,9,11,1,10,7,20,9,0,Matches
Wesley,br BRA,DF,22-044,17.1,37,32,19,15,3,15,29,51.7,14,13,3,10,22,54,22,2,Matches
Gerson,br BRA,MF.FW,28-153,14.9,21,19,6,10,5,9,15,60.0,6,13,2,11,8,28,4,0,Matches
Erick Pulgar,cl CHI,MF,31-278,14.2,20,17,6,9,5,7,18,38.9,11,6,4,2,24,41,19,2,Matches
Nicolás De La Cruz,uy URU,MF,28-141,13.6,23,15,14,9,0,15,28,53.6,13,9,2,7,9,32,12,1,Matches
Samuel Lino,br BRA,FW,25-301,13.3,25,17,13,10,2,10,33,30.3,23,24,3,21,5,30,10,0,Matches
Ayrton Lucas,br BRA,DF,28-123,13.2,22,18,12,10,0,9,19,47.4,10,6,3,3,8,28,37,0,Matches
Danilo,br BRA,DF,34-097,12.2,8,8,6,2,0,4,10,40.0,6,5,4,1,11,16,40,1,Matches
Allan,br BRA,MF,28-231,11.5,8,9,3,5,0,3,4,75.0,1,11,4,7,17,23,11,0,Matches
Evertton,br BRA,MF,22-234,10.8,17,12,7,8,2,11,16,68.8,5,14,5,9,4,21,9,0,Matches
Saúl Ñíguez,es ESP,MF,30-333,10.6,26,16,12,13,1,10,22,45.5,12,16,3,13,18,44,17,1,Matches
Everton Soares,br BRA,FW,29-212,10.0,15,11,6,6,3,7,16,43.8,9,10,0,10,4,19,3,0,Matches
Emerson,br BRA,DF,26-279,8.4,22,14,11,9,2,11,18,61.1,7,8,1,7,13,35,19,0,Matches
Michael,br BRA,FW,29-222,7.3,7,2,1,4,2,1,10,10.0,9,9,1,8,2,9,3,1,Matches
Juninho,br BRA,FW,28-333,5.2,11,8,1,5,5,2,5,40.0,3,6,0,6,1,12,4,0,Matches
Jorge Carrascal,co COL,MF,27-148,5.1,20,9,3,6,11,8,15,53.3,7,5,0,5,2,22,5,0,Matches
Wallace,br BRA,MF.FW,20-254,3.3,7,6,1,2,4,3,5,60.0,2,5,0,5,2,8,2,0,Matches
Matías Viña,uy URU,DF.MF,27-345,3.2,10,6,4,5,1,5,10,50.0,5,6,1,5,1,11,5,1,Matches
Cleiton,br BRA,DF,22-178,0.9,3,2,1,2,0,1,1,100.0,0,2,2,0,2,5,7,0,Matches
Matheus Gonçalves,br BRA,FW,20-063,0.8,1,1,0,1,0,1,4,25.0,3,2,0,2,0,1,0,0,Matches
Victor Hugo,br BRA,MF,21-162,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
João Victor,br BRA,DF,18-292,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
